channel,campaign_name,package,month,Spend,Impressions
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_BlackCreatorsPodMidRoll_CRS_POD_MI030_A18+_CPM_NONSPR,2025-01,91125.0,2603565.0
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_BlackCreatorsPodMidRoll_CRS_POD_MI030_A18+_CPM_NONSPR,2025-02,106267.0,3036158.0
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_BlackCreatorsPodMidRoll_CRS_POD_MI030_A18+_CPM_NONSPR,2025-03,95925.0,2903311.0
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_BlackCreatorsPodPreRoll_CRS_POD_PR030_A18+_CPM_NONSPR,2025-01,62458.0,2498416.0
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_BlackCreatorsPodPreRoll_CRS_POD_PR030_A18+_CPM_NONSPR,2025-02,69489.0,2779542.0
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_BlackCreatorsPodPreRoll_CRS_POD_PR030_A18+_CPM_NONSPR,2025-03,63561.0,2694044.0
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_RON Pre/Mid Roll AV + PostRoll AV_CRS_POD_PR030_A18+_PAV_NONSPR,2025-01,0.0,851012.0
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_RON Pre/Mid Roll AV + PostRoll AV_CRS_POD_PR030_A18+_PAV_NONSPR,2025-02,0.0,749492.0
Digital Audio,,D_ATF_REX_066_IHEART.COM_iHeart Black Effect_BROD_ROS_NTL_2P_UF_RON Pre/Mid Roll AV + PostRoll AV_CRS_POD_PR030_A18+_PAV_NONSPR,2025-03,0.0,788607.0
Digital Audio,,D_ATF_REX_066_PANDORA MEDIA_GARNT_BROD_ROS_NTL_2P_UF_Mel Robbins Pod Pre/Mid_CRS_POD_0:30_A18+_CPM_NONSPR,2025-01,119971.0,4544442.0
